"Hierarchy Level","Page Type","Page Sub Type","Content Type","Friendly URL","Page ID","Page Title","Full URL","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Top Level",Homepage?,"Toggle URL"
4,"Content Page","Standard Page",basic_page,/es/esvotaciones-y-elecciones/esregistro-votar-estados-unidos/esfechas-limite-registrarse-electoral,638,"Fechas límite para registrarse a votar",https://www.usa.gov/es/esvotaciones-y-elecciones/esregistro-votar-estados-unidos/esfechas-limite-registrarse-electoral,"Página principal","Votaciones y elecciones","Registro para votar en Estados Unidos","Fechas límite para registrarse para votar","Fechas límite para registrarse para votar","Fechas límite para registrarse para votar","USAGov Español",not_homepage,https://www.usa.gov/voter-registration-deadlines
4,"Content Page","Standard Page",basic_page,/es/esvotaciones-y-elecciones/esleyes-votaciones/esleyes-derecho-a-votar,679,"Leyes y enmiendas constitucionales que protegen el derecho a votar",https://www.usa.gov/es/esvotaciones-y-elecciones/esleyes-votaciones/esleyes-derecho-a-votar,"Página principal","Votaciones y elecciones","Leyes de votaciones y elecciones en EE. UU.","Leyes sobre el derecho de voto","Leyes sobre el derecho de voto","Leyes sobre el derecho de voto","USAGov Español",not_homepage,https://www.usa.gov/voting-rights
4,"Content Page","Standard Page",basic_page,/es/esvotaciones-y-elecciones/esregistro-votar-estados-unidos/esregistro-inscripcion-votar,633,"Cómo registrarse para votar en Estados Unidos",https://www.usa.gov/es/esvotaciones-y-elecciones/esregistro-votar-estados-unidos/esregistro-inscripcion-votar,"Página principal","Votaciones y elecciones","Registro para votar en Estados Unidos","Registrarse para votar en Estados Unidos","Registrarse para votar en Estados Unidos","Registrarse para votar en Estados Unidos","USAGov Español",not_homepage,https://www.usa.gov/register-to-vote
2,"Navigation Cards Page","Navigation Cards Page",basic_page,/es/esviajes,716,Viajes,https://www.usa.gov/es/esviajes,"Página principal",Viajes,Viajes,Viajes,Viajes,Viajes,"USAGov Español",not_homepage,https://www.usa.gov/travel
2,"Navigation Cards Page","Navigation Cards Page",basic_page,/es/esacerca-de-estados-unidos,482,"Acerca de Estados Unidos y su Gobierno",https://www.usa.gov/es/esacerca-de-estados-unidos,"Página principal","Acerca de EE. UU. y su Gobierno","Acerca de EE. UU. y su Gobierno","Acerca de EE. UU. y su Gobierno","Acerca de EE. UU. y su Gobierno","Acerca de EE. UU. y su Gobierno","USAGov Español",not_homepage,https://www.usa.gov/about-the-us
5,"Content Page","Standard Page",basic_page,/es/esinmigracion-ciudadania-estados-unidos/esgreen-card-residencia-permanente-visas-inmigrante/essolicitud-green-card-residencia-permanente/essolicitud-green-card-desde-extranjero,689,"Cómo tramitar una “Green Card” desde el extranjero",https://www.usa.gov/es/esinmigracion-ciudadania-estados-unidos/esgreen-card-residencia-permanente-visas-inmigrante/essolicitud-green-card-residencia-permanente/essolicitud-green-card-desde-extranjero,"Página principal","Inmigración y ciudadanía","“Green Card” y visas de inmigrante","Solicitud de “Green Card”","Solicitud de “Green Card” desde el extranjero","Solicitud de “Green Card” desde el extranjero","USAGov Español",not_homepage,https://www.usa.gov/green-card-consular-process
5,"Content Page","Standard Page",basic_page,/es/esinmigracion-ciudadania-estados-unidos/esgreen-card-residencia-permanente-visas-inmigrante/essolicitud-green-card-residencia-permanente/essolicitud-green-card-en-estados-unidos,673,"Cómo tramitar una “Green Card” si se encuentra en EE. UU.",https://www.usa.gov/es/esinmigracion-ciudadania-estados-unidos/esgreen-card-residencia-permanente-visas-inmigrante/essolicitud-green-card-residencia-permanente/essolicitud-green-card-en-estados-unidos,"Página principal","Inmigración y ciudadanía","“Green Card” y visas de inmigrante","Solicitud de “Green Card”","Solicitud de “Green Card” si se encuentra en EE. UU.","Solicitud de “Green Card” si se encuentra en EE. UU.","USAGov Español",not_homepage,https://www.usa.gov/adjustment-of-status
3,"Navigation Page","Navigation Page",basic_page,/es/esinmigracion-ciudadania-estados-unidos/esgreen-card-residencia-permanente-visas-inmigrante,666,"“Green Card” o residencia permanente y visas de inmigrante",https://www.usa.gov/es/esinmigracion-ciudadania-estados-unidos/esgreen-card-residencia-permanente-visas-inmigrante,"Página principal","Inmigración y ciudadanía","“Green Card” y visas de inmigrante","“Green Card” y visas de inmigrante","“Green Card” y visas de inmigrante","“Green Card” y visas de inmigrante","USAGov Español",not_homepage,https://www.usa.gov/green-card-permanent-resident-immigrant-visa
3,"State Office Page","State Office Page",basic_page,/es/esbeneficios-gobierno/esestatales-servicios-sociales,1883,"Agencias estatales de servicios sociales",https://www.usa.gov/es/esbeneficios-gobierno/esestatales-servicios-sociales,"Página principal","Ayuda económica y beneficios del Gobierno","Agencias estatales de servicios sociales","Agencias estatales de servicios sociales","Agencias estatales de servicios sociales","Agencias estatales de servicios sociales","USAGov Español",not_homepage,https://www.usa.gov/state-social-services
4,"Navigation Page","Navigation Page",basic_page,/es/esinmigracion-ciudadania-estados-unidos/esgreen-card-residencia-permanente-visas-inmigrante/esasilo-refugio-estados-unidos,674,"Solicitud de asilo y refugio en Estados Unidos",https://www.usa.gov/es/esinmigracion-ciudadania-estados-unidos/esgreen-card-residencia-permanente-visas-inmigrante/esasilo-refugio-estados-unidos,"Página principal","Inmigración y ciudadanía","“Green Card” y visas de inmigrante","Solicitud de asilo y refugio en EE. UU.","Solicitud de asilo y refugio en EE. UU.","Solicitud de asilo y refugio en EE. UU.","USAGov Español",not_homepage,https://www.usa.gov/refugee-and-asylum
3,"Navigation Page","Navigation Page",basic_page,/es/esinmigracion-ciudadania-estados-unidos/esdeportacion-estados-unidos,705,Deportación,https://www.usa.gov/es/esinmigracion-ciudadania-estados-unidos/esdeportacion-estados-unidos,"Página principal","Inmigración y ciudadanía",Deportación,Deportación,Deportación,Deportación,"USAGov Español",not_homepage,https://www.usa.gov/deportation
3,"Content Page","Standard Page",basic_page,/es/esinmigracion-ciudadania-estados-unidos/esrevisar-estatus-caso-inmigracion,692,"Cómo revisar el estatus de su caso de inmigración",https://www.usa.gov/es/esinmigracion-ciudadania-estados-unidos/esrevisar-estatus-caso-inmigracion,"Página principal","Inmigración y ciudadanía","Revisar estatus de caso de inmigración","Revisar estatus de caso de inmigración","Revisar estatus de caso de inmigración","Revisar estatus de caso de inmigración","USAGov Español",not_homepage,https://www.usa.gov/immigration-case-status
4,"Content Page","Standard Page",basic_page,/es/esinmigracion-ciudadania-estados-unidos/esvisas-no-inmigrante-turista/esvisa-no-inmigrante-trabajo,663,"Visa temporal para trabajar en Estados Unidos",https://www.usa.gov/es/esinmigracion-ciudadania-estados-unidos/esvisas-no-inmigrante-turista/esvisa-no-inmigrante-trabajo,"Página principal","Inmigración y ciudadanía","Visas de turista y de no inmigrante","Visa temporal para trabajar en EE. UU.","Visa temporal para trabajar en EE. UU.","Visa temporal para trabajar en EE. UU.","USAGov Español",not_homepage,https://www.usa.gov/temporary-work-visa
4,"Content Page","Standard Page",basic_page,/es/esbeneficios-gobierno/esseguro-social/essacar-reemplazar-tarjeta-seguro-social,509,"Cómo sacar, reemplazar o corregir una tarjeta del Seguro Social",https://www.usa.gov/es/esbeneficios-gobierno/esseguro-social/essacar-reemplazar-tarjeta-seguro-social,"Página principal","Ayuda económica y beneficios del Gobierno","Seguro Social","Sacar, reemplazar o corregir una tarjeta del Seguro Social","Sacar, reemplazar o corregir una tarjeta del Seguro Social","Sacar, reemplazar o corregir una tarjeta del Seguro Social","USAGov Español",not_homepage,https://www.usa.gov/social-security-card
4,"Content Page","Standard Page",basic_page,/es/esvotaciones-y-elecciones/esregistro-votar-estados-unidos/esrequisitos-registrarse-votar,634,"Requisitos para registrarse a votar en EE. UU.",https://www.usa.gov/es/esvotaciones-y-elecciones/esregistro-votar-estados-unidos/esrequisitos-registrarse-votar,"Página principal","Votaciones y elecciones","Registro para votar en Estados Unidos","Requisitos para registrarse para votar","Requisitos para registrarse para votar","Requisitos para registrarse para votar","USAGov Español",not_homepage,None
2,"Navigation Cards Page","Navigation Cards Page",basic_page,/es/espequenas-empresas,744,"Pequeñas empresas",https://www.usa.gov/es/espequenas-empresas,"Página principal","Pequeñas empresas","Pequeñas empresas","Pequeñas empresas","Pequeñas empresas","Pequeñas empresas","USAGov Español",not_homepage,https://www.usa.gov/small-business
2,"Navigation Cards Page","Navigation Cards Page",basic_page,/es/esbeneficios-gobierno,519,"Ayuda económica y beneficios del Gobierno",https://www.usa.gov/es/esbeneficios-gobierno,"Página principal","Ayuda económica y beneficios del Gobierno","Ayuda económica y beneficios del Gobierno","Ayuda económica y beneficios del Gobierno","Ayuda económica y beneficios del Gobierno","Ayuda económica y beneficios del Gobierno","USAGov Español",not_homepage,https://www.usa.gov/benefits
3,"Navigation Page","Navigation Page",basic_page,/es/esviajes/espasaporte-estados-unidos,745,"Pasaporte estadounidense",https://www.usa.gov/es/esviajes/espasaporte-estados-unidos,"Página principal",Viajes,"Pasaporte estadounidense","Pasaporte estadounidense","Pasaporte estadounidense","Pasaporte estadounidense","USAGov Español",not_homepage,https://www.usa.gov/passport
4,"Navigation Page","Navigation Page",basic_page,/es/esinmigracion-ciudadania-estados-unidos/esgreen-card-residencia-permanente-visas-inmigrante/esvisas-inmigrante,667,"Visas de inmigrante",https://www.usa.gov/es/esinmigracion-ciudadania-estados-unidos/esgreen-card-residencia-permanente-visas-inmigrante/esvisas-inmigrante,"Página principal","Inmigración y ciudadanía","“Green Card” y visas de inmigrante","Visas de inmigrante","Visas de inmigrante","Visas de inmigrante","USAGov Español",not_homepage,https://www.usa.gov/visas
4,"Content Page","Standard Page",basic_page,/es/esviajes/esestadounidenses-viajes-extranjero/esvisas-estadounidenses-viajan-extranjero,740,"Visas para estadounidenses que viajan al extranjero",https://www.usa.gov/es/esviajes/esestadounidenses-viajes-extranjero/esvisas-estadounidenses-viajan-extranjero,"Página principal",Viajes,"Estadounidenses que viajan al extranjero","Visas para estadounidenses que viajan al extranjero","Visas para estadounidenses que viajan al extranjero","Visas para estadounidenses que viajan al extranjero","USAGov Español",not_homepage,https://www.usa.gov/visas-citizens-traveling-abroad
4,"Content Page","Standard Page",basic_page,/es/esviajes/espasaporte-estados-unidos/espasaportes-eeuu-perdidos-robados,752,"Pasaportes estadounidenses perdidos o robados",https://www.usa.gov/es/esviajes/espasaporte-estados-unidos/espasaportes-eeuu-perdidos-robados,"Página principal",Viajes,"Pasaporte estadounidense","Pasaportes estadounidenses perdidos o robados","Pasaportes estadounidenses perdidos o robados","Pasaportes estadounidenses perdidos o robados","USAGov Español",not_homepage,https://www.usa.gov/lost-stolen-passport
3,"Navigation Page","Navigation Page",basic_page,/es/esquejas/esquejas-vivienda,1922,"Quejas sobre asuntos de vivienda",https://www.usa.gov/es/esquejas/esquejas-vivienda,"Página principal",Quejas,"Quejas de vivienda","Quejas de vivienda","Quejas de vivienda","Quejas de vivienda","USAGov Español",not_homepage,https://www.usa.gov/housing-complaints
3,"Navigation Page","Navigation Page",basic_page,/es/esquejas/esquejas-consumidor,1925,"Quejas del consumidor",https://www.usa.gov/es/esquejas/esquejas-consumidor,"Página principal",Quejas,"Quejas del consumidor","Quejas del consumidor","Quejas del consumidor","Quejas del consumidor","USAGov Español",not_homepage,https://www.usa.gov/consumer-complaints
3,"Navigation Page","Navigation Page",basic_page,/es/esquejas/esquejas-agencias-prisiones,1934,"Quejas contra agencias de Gobierno o prisiones de Estados Unidos",https://www.usa.gov/es/esquejas/esquejas-agencias-prisiones,"Página principal",Quejas,"Quejas contra agencias o prisiones de EE. UU.","Quejas contra agencias o prisiones de EE. UU.","Quejas contra agencias o prisiones de EE. UU.","Quejas contra agencias o prisiones de EE. UU.","USAGov Español",not_homepage,https://www.usa.gov/complaints-against-government
4,"Content Page","Standard Page",basic_page,/es/esquejas/esquejas-consumidor/esquejas-vehiculos,1928,"Dónde poner una queja relacionada con mi vehículo",https://www.usa.gov/es/esquejas/esquejas-consumidor/esquejas-vehiculos,"Página principal",Quejas,"Quejas del consumidor","Quejas sobre vehículos","Quejas sobre vehículos","Quejas sobre vehículos","USAGov Español",not_homepage,https://www.usa.gov/car-complaints
2,"Navigation Cards Page","Navigation Cards Page",basic_page,/es/esinmigracion-ciudadania-estados-unidos,651,"Inmigración y ciudadanía",https://www.usa.gov/es/esinmigracion-ciudadania-estados-unidos,"Página principal","Inmigración y ciudadanía","Inmigración y ciudadanía","Inmigración y ciudadanía","Inmigración y ciudadanía","Inmigración y ciudadanía","USAGov Español",not_homepage,https://www.usa.gov/immigration-and-citizenship
3,"State Office Page","State Office Page",basic_page,/es/esacerca-de-estados-unidos/esestatal-consumidor,1881,"Directorio de oficinas estatales de protección al consumidor",https://www.usa.gov/es/esacerca-de-estados-unidos/esestatal-consumidor,"Página principal","Acerca de EE. UU. y su Gobierno","Directorio de oficinas estatales de protección al consumidor","Directorio de oficinas estatales de protección al consumidor","Directorio de oficinas estatales de protección al consumidor","Directorio de oficinas estatales de protección al consumidor","USAGov Español",not_homepage,https://www.usa.gov/state-consumer
3,"Content Page","Standard Page",basic_page,/es/esestafas-y-fraudes/esquejas-llamadas-telemercadeo,1931,"Dónde poner una queja sobre llamadas de telemercadeo",https://www.usa.gov/es/esestafas-y-fraudes/esquejas-llamadas-telemercadeo,"Página principal","Estafas y fraudes","Quejas sobre llamadas de telemercadeo","Quejas sobre llamadas de telemercadeo","Quejas sobre llamadas de telemercadeo","Quejas sobre llamadas de telemercadeo","USAGov Español",not_homepage,https://www.usa.gov/telemarketer-scam-call-complaints
4,"Content Page","Standard Page",basic_page,/es/esbeneficios-gobierno/esasistencia-alimentaria/essolicitar-cupones-alimentos-snap,488,"Cómo solicitar cupones para alimentos (SNAP)",https://www.usa.gov/es/esbeneficios-gobierno/esasistencia-alimentaria/essolicitar-cupones-alimentos-snap,"Página principal","Ayuda económica y beneficios del Gobierno","Asistencia alimentaria","Cómo solicitar cupones para alimentos (SNAP)","Cómo solicitar cupones para alimentos (SNAP)","Cómo solicitar cupones para alimentos (SNAP)","USAGov Español",not_homepage,https://www.usa.gov/food-stamps
4,"Content Page","Standard Page",basic_page,/es/esbeneficios-gobierno/esayuda-pagar-facturas/esayuda-pagar-luz-gas,501,"Consiga ayuda para pagar la luz y el gas",https://www.usa.gov/es/esbeneficios-gobierno/esayuda-pagar-facturas/esayuda-pagar-luz-gas,"Página principal","Ayuda económica y beneficios del Gobierno","Ayuda para pagar facturas","Consiga ayuda para pagar la luz y el gas","Consiga ayuda para pagar la luz y el gas","Consiga ayuda para pagar la luz y el gas","USAGov Español",not_homepage,https://www.usa.gov/help-with-energy-bills
3,"Navigation Page","Navigation Page",basic_page,/es/esviajes/esextranjeros-viajan-estados-unidos,717,"Extranjeros que viajan hacia o dentro de EE. UU.",https://www.usa.gov/es/esviajes/esextranjeros-viajan-estados-unidos,"Página principal",Viajes,"Extranjeros que viajan hacia o dentro de EE. UU.","Extranjeros que viajan hacia o dentro de EE. UU.","Extranjeros que viajan hacia o dentro de EE. UU.","Extranjeros que viajan hacia o dentro de EE. UU.","USAGov Español",not_homepage,https://www.usa.gov/travel-to-within-us
4,"Navigation Page","Navigation Page",basic_page,/es/esviajes/esextranjeros-viajan-estados-unidos/esturistas-visitan-estados-unidos,724,"Visitar Estados Unidos como turista",https://www.usa.gov/es/esviajes/esextranjeros-viajan-estados-unidos/esturistas-visitan-estados-unidos,"Página principal",Viajes,"Extranjeros que viajan hacia o dentro de EE. UU.","Visitar EE. UU. como turista","Visitar EE. UU. como turista","Visitar EE. UU. como turista","USAGov Español",not_homepage,https://www.usa.gov/visit-united-states
3,"Navigation Page","Navigation Page",basic_page,/es/esviajes/esestadounidenses-viajes-extranjero,733,"Ciudadanos de Estados Unidos que viajan al extranjero",https://www.usa.gov/es/esviajes/esestadounidenses-viajes-extranjero,"Página principal",Viajes,"Estadounidenses que viajan al extranjero","Estadounidenses que viajan al extranjero","Estadounidenses que viajan al extranjero","Estadounidenses que viajan al extranjero","USAGov Español",not_homepage,https://www.usa.gov/travel-abroad
2,"Navigation Cards Page","Navigation Cards Page",basic_page,/es/esquejas,1921,Quejas,https://www.usa.gov/es/esquejas,"Página principal",Quejas,Quejas,Quejas,Quejas,Quejas,"USAGov Español",not_homepage,https://www.usa.gov/complaints
5,"Content Page","Standard Page",basic_page,/es/esinmigracion-ciudadania-estados-unidos/esgreen-card-residencia-permanente-visas-inmigrante/esvisas-inmigrante/esvisa-trabajo-para-inmigrante,671,"Visa de inmigrante para trabajar en Estados Unidos",https://www.usa.gov/es/esinmigracion-ciudadania-estados-unidos/esgreen-card-residencia-permanente-visas-inmigrante/esvisas-inmigrante/esvisa-trabajo-para-inmigrante,"Página principal","Inmigración y ciudadanía","“Green Card” y visas de inmigrante","Visas de inmigrante","Visa de inmigrante para trabajar en EE. UU.","Visa de inmigrante para trabajar en EE. UU.","USAGov Español",not_homepage,https://www.usa.gov/immigrant-work-visa
3,"Content Page","Standard Page",basic_page,/es/esquejas/esquejas-viajes,1933,"Dónde poner una queja relacionada con viajes",https://www.usa.gov/es/esquejas/esquejas-viajes,"Página principal",Quejas,"Quejas relacionadas con viajes","Quejas relacionadas con viajes","Quejas relacionadas con viajes","Quejas relacionadas con viajes","USAGov Español",not_homepage,https://www.usa.gov/travel-complaints
4,"Content Page","Standard Page",basic_page,/es/esdinero-credito/esinformes-puntajes-credito/escorregir-errores-informe-credito,1943,"Cómo corregir errores en su informe de crédito",https://www.usa.gov/es/esdinero-credito/esinformes-puntajes-credito/escorregir-errores-informe-credito,"Página principal","Dinero y crédito","Informes y puntajes de crédito","Cómo corregir errores en su informe de crédito","Cómo corregir errores en su informe de crédito","Cómo corregir errores en su informe de crédito","USAGov Español",not_homepage,None
4,"Content Page","Standard Page",basic_page,/es/esacerca-de-estados-unidos/esinformacion-general-sobre-estados-unidos/esmoneda-estadounidense,524,"Moneda estadounidense",https://www.usa.gov/es/esacerca-de-estados-unidos/esinformacion-general-sobre-estados-unidos/esmoneda-estadounidense,"Página principal","Acerca de EE. UU. y su Gobierno","Información general sobre EE. UU.","Moneda estadounidense","Moneda estadounidense","Moneda estadounidense","USAGov Español",not_homepage,https://www.usa.gov/currency
2,"Navigation Cards Page","Navigation Cards Page",basic_page,/es/esdinero-credito,475,"Dinero y crédito",https://www.usa.gov/es/esdinero-credito,"Página principal","Dinero y crédito","Dinero y crédito","Dinero y crédito","Dinero y crédito","Dinero y crédito","USAGov Español",not_homepage,https://www.usa.gov/money
3,"Navigation Page","Navigation Page",basic_page,/es/esdinero-credito/esinformes-puntajes-credito,1940,"Informes y puntajes de crédito",https://www.usa.gov/es/esdinero-credito/esinformes-puntajes-credito,"Página principal","Dinero y crédito","Informes y puntajes de crédito","Informes y puntajes de crédito","Informes y puntajes de crédito","Informes y puntajes de crédito","USAGov Español",not_homepage,https://www.usa.gov/credit
3,"Navigation Page","Navigation Page",basic_page,/es/esdinero-credito/esahorro-inversiones,1937,"Ahorro e inversiones",https://www.usa.gov/es/esdinero-credito/esahorro-inversiones,"Página principal","Dinero y crédito","Ahorro e inversiones","Ahorro e inversiones","Ahorro e inversiones","Ahorro e inversiones","USAGov Español",not_homepage,None
4,"Content Page","Standard Page",basic_page,/es/esdinero-credito/esinformes-puntajes-credito/espuntaje-credito,1947,"Cómo entender, obtener y mejorar su puntaje de crédito",https://www.usa.gov/es/esdinero-credito/esinformes-puntajes-credito/espuntaje-credito,"Página principal","Dinero y crédito","Informes y puntajes de crédito","Cómo entender, obtener y mejorar su puntaje de crédito","Cómo entender, obtener y mejorar su puntaje de crédito","Cómo entender, obtener y mejorar su puntaje de crédito","USAGov Español",not_homepage,https://www.usa.gov/credit-score
4,"Content Page","Standard Page",basic_page,/es/esdinero-credito/esinformes-puntajes-credito/eshistorial-credito,1948,"Qué es un historial de crédito",https://www.usa.gov/es/esdinero-credito/esinformes-puntajes-credito/eshistorial-credito,"Página principal","Dinero y crédito","Informes y puntajes de crédito","Qué es un historial de crédito","Qué es un historial de crédito","Qué es un historial de crédito","USAGov Español",not_homepage,None
4,"Content Page","Standard Page",basic_page,/es/esdinero-credito/esinformes-puntajes-credito/escongelar-credito,1946,"Cómo congelar su informe de crédito",https://www.usa.gov/es/esdinero-credito/esinformes-puntajes-credito/escongelar-credito,"Página principal","Dinero y crédito","Informes y puntajes de crédito","Cómo congelar su informe de crédito","Cómo congelar su informe de crédito","Cómo congelar su informe de crédito","USAGov Español",not_homepage,https://www.usa.gov/credit-freeze
5,"Content Page","Standard Page",basic_page,/es/esviajes/esextranjeros-viajan-estados-unidos/esturistas-visitan-estados-unidos/essolicitud-extension-estadia-estados-unidos,727,"Cómo solicitar una extensión de su estadía en EE. UU.",https://www.usa.gov/es/esviajes/esextranjeros-viajan-estados-unidos/esturistas-visitan-estados-unidos/essolicitud-extension-estadia-estados-unidos,"Página principal",Viajes,"Extranjeros que viajan hacia o dentro de EE. UU.","Visitar EE. UU. como turista","Solicitud de extensión de estadía en EE. UU.","Solicitud de extensión de estadía en EE. UU.","USAGov Español",not_homepage,https://www.usa.gov/extend-visa
4,"Content Page","Standard Page",basic_page,/es/esviajes/esextranjeros-viajan-estados-unidos/esextranjeros-requistos-conducir-estados-unidos,723,"Conducir en EE. UU. con licencia del extranjero",https://www.usa.gov/es/esviajes/esextranjeros-viajan-estados-unidos/esextranjeros-requistos-conducir-estados-unidos,"Página principal",Viajes,"Extranjeros que viajan hacia o dentro de EE. UU.","Conducir en EE. UU. con licencia del extranjero","Conducir en EE. UU. con licencia del extranjero","Conducir en EE. UU. con licencia del extranjero","USAGov Español",not_homepage,https://www.usa.gov/non-citizen-driving
3,"Navigation Page","Navigation Page",basic_page,/es/esvivienda/esayuda-emergencia-vivienda,569,"Ayuda de emergencia para vivienda",https://www.usa.gov/es/esvivienda/esayuda-emergencia-vivienda,"Página principal",Vivienda,"Ayuda de emergencia para vivienda","Ayuda de emergencia para vivienda","Ayuda de emergencia para vivienda","Ayuda de emergencia para vivienda","USAGov Español",not_homepage,https://www.usa.gov/emergency-housing-assistance
3,"Content Page","Standard Page",basic_page,/es/esquejas/esquejas-bancos-agencias-crediticias,1932,"Cómo poner una queja contra un banco o agencia crediticia",https://www.usa.gov/es/esquejas/esquejas-bancos-agencias-crediticias,"Página principal",Quejas,"Quejas contra bancos y agencias crediticias","Quejas contra bancos y agencias crediticias","Quejas contra bancos y agencias crediticias","Quejas contra bancos y agencias crediticias","USAGov Español",not_homepage,https://www.usa.gov/bank-credit-complaints
4,"Content Page","Standard Page",basic_page,/es/esvivienda/esayuda-emergencia-vivienda/esayuda-emergencia-pagar-renta,568,"Asistencia de emergencia para pagar la renta",https://www.usa.gov/es/esvivienda/esayuda-emergencia-vivienda/esayuda-emergencia-pagar-renta,"Página principal",Vivienda,"Ayuda de emergencia para vivienda","Ayuda de emergencia para pagar la renta","Ayuda de emergencia para pagar la renta","Ayuda de emergencia para pagar la renta","USAGov Español",not_homepage,https://www.usa.gov/emergency-pay-rent
3,"Content Page","Standard Page",basic_page,/es/esfuerzas-armadas-veteranos/esrequisitos-entrar-fuerzas-armadas,805,"Cómo entrar en las Fuerzas Armadas de EE. UU.",https://www.usa.gov/es/esfuerzas-armadas-veteranos/esrequisitos-entrar-fuerzas-armadas,"Página principal","Fuerzas Armadas de EE. UU. y veteranos","Cómo entrar en las Fuerzas Armadas","Cómo entrar en las Fuerzas Armadas","Cómo entrar en las Fuerzas Armadas","Cómo entrar en las Fuerzas Armadas","USAGov Español",not_homepage,https://www.usa.gov/military-requirements
3,"Content Page","Standard Page",basic_page,/es/esfuerzas-armadas-veteranos/esbeneficios-educativos-laborales-familiares,809,"Beneficios educativos y laborales para familiares de miembros en las Fuerzas Armadas",https://www.usa.gov/es/esfuerzas-armadas-veteranos/esbeneficios-educativos-laborales-familiares,"Página principal","Fuerzas Armadas de EE. UU. y veteranos","Beneficios educativos y laborales para familiares","Beneficios educativos y laborales para familiares","Beneficios educativos y laborales para familiares","Beneficios educativos y laborales para familiares","USAGov Español",not_homepage,None
3,"Content Page","Standard Page",basic_page,/es/esfuerzas-armadas-veteranos/esfuerzas-armadas-estados-unidos,810,"Información sobre las Fuerzas Armadas de Estados Unidos",https://www.usa.gov/es/esfuerzas-armadas-veteranos/esfuerzas-armadas-estados-unidos,"Página principal","Fuerzas Armadas de EE. UU. y veteranos","Información sobre las Fuerzas Armadas","Información sobre las Fuerzas Armadas","Información sobre las Fuerzas Armadas","Información sobre las Fuerzas Armadas","USAGov Español",not_homepage,https://www.usa.gov/us-military
3,"Navigation Page","Navigation Page",basic_page,/es/essalud/esseguros-medicos,490,"Seguros médicos",https://www.usa.gov/es/essalud/esseguros-medicos,"Página principal",Salud,"Seguros médicos","Seguros médicos","Seguros médicos","Seguros médicos","USAGov Español",not_homepage,https://www.usa.gov/health-insurance
3,"Navigation Page","Navigation Page",basic_page,/es/esdesastres-emergencias/esayuda-financiera-desastre,541,"Asistencia financiera por desastre natural",https://www.usa.gov/es/esdesastres-emergencias/esayuda-financiera-desastre,"Página principal","Desastres y emergencias","Asistencia financiera por desastre","Asistencia financiera por desastre","Asistencia financiera por desastre","Asistencia financiera por desastre","USAGov Español",not_homepage,https://www.usa.gov/disaster-financial-help
3,"Navigation Page","Navigation Page",basic_page,/es/esvivienda/esprogramas-gobierno-comprar-vivienda,563,"Programas del Gobierno para comprar vivienda",https://www.usa.gov/es/esvivienda/esprogramas-gobierno-comprar-vivienda,"Página principal",Vivienda,"Programas para comprar vivienda","Programas para comprar vivienda","Programas para comprar vivienda","Programas para comprar vivienda","USAGov Español",not_homepage,https://www.usa.gov/buying-home-programs
4,"Content Page","Standard Page",basic_page,/es/esdesastres-emergencias/esayuda-financiera-desastre/esayuda-hipoteca-desastre,547,"Obtenga ayuda con los pagos de su casa o un préstamo para repararla después de un desastre natural",https://www.usa.gov/es/esdesastres-emergencias/esayuda-financiera-desastre/esayuda-hipoteca-desastre,"Página principal","Desastres y emergencias","Asistencia financiera por desastre","Ayuda para la hipoteca tras un desastre","Ayuda para la hipoteca tras un desastre","Ayuda para la hipoteca tras un desastre","USAGov Español",not_homepage,https://www.usa.gov/disaster-mortgage
3,"Content Page","Standard Page",basic_page,/es/essalud/esayuda-abuso-alcohol-drogas,575,"Ayuda para el abuso de alcohol y drogas",https://www.usa.gov/es/essalud/esayuda-abuso-alcohol-drogas,"Página principal",Salud,"Ayuda para el abuso de alcohol y drogas","Ayuda para el abuso de alcohol y drogas","Ayuda para el abuso de alcohol y drogas","Ayuda para el abuso de alcohol y drogas","USAGov Español",not_homepage,https://www.usa.gov/substance-abuse
4,"Content Page","Standard Page",basic_page,/es/esfuerzas-armadas-veteranos/esservicio-selectivo-servicio-militar/esregistro-servicio-selectivo,807,"Inscripción en el Servicio Selectivo de Estados Unidos",https://www.usa.gov/es/esfuerzas-armadas-veteranos/esservicio-selectivo-servicio-militar/esregistro-servicio-selectivo,"Página principal","Fuerzas Armadas de EE. UU. y veteranos","Servicio militar y Servicio Selectivo","Inscripción en el Servicio Selectivo","Inscripción en el Servicio Selectivo","Inscripción en el Servicio Selectivo","USAGov Español",not_homepage,https://www.usa.gov/register-selective-service
4,"Content Page","Standard Page",basic_page,/es/essalud/esseguros-medicos/essalud-mercado-seguros-medicos-aca,492,"Cómo conseguir un seguro a través del Mercado de Seguros Médicos",https://www.usa.gov/es/essalud/esseguros-medicos/essalud-mercado-seguros-medicos-aca,"Página principal",Salud,"Seguros médicos","Mercado de Seguros Médicos","Mercado de Seguros Médicos","Mercado de Seguros Médicos","USAGov Español",not_homepage,https://www.usa.gov/health-insurance-marketplace
